,name_2,root_1,pitch_class_smaller,edo_note_number,cents_diff,matched_pitch_class,n_edo
0,just diatonic,C,C,0,0.0,C,7
1,just diatonic,C,D,1,-32.481430302203606,D,7
2,just diatonic,C,E,2,-43.45657100769228,D#,7
3,just diatonic,C,F,3,16.240715151101934,F,7
4,just diatonic,C,G,4,-16.240715151101515,G,7
5,just diatonic,C,A,5,-27.215855856590313,A,7
6,just diatonic,C,B,6,-59.697286158793595,A#,7
0,just diatonic,D,D,0,0.0,D,7
1,just diatonic,D,E,1,-10.975140705488768,E,7
2,just diatonic,D,F,2,48.72214545330537,F,7
3,just diatonic,D,G,3,16.24071515110155,G,7
4,just diatonic,D,A,4,5.265574445613126,A,7
5,just diatonic,D,B,5,-27.215855856590114,B,7
6,just diatonic,D,C,6,32.481430302203556,C,7
0,just diatonic,E,E,0,0.0,E,7
1,just diatonic,E,F,1,59.69728615879383,F#,7
2,just diatonic,E,G,2,27.215855856590174,G,7
3,just diatonic,E,A,3,16.24071515110155,A,7
4,just diatonic,E,B,4,-16.240715151101515,B,7
5,just diatonic,E,C,5,43.45657100769207,C,7
6,just diatonic,E,D,6,10.975140705488421,D,7
0,just diatonic,F,F,0,0.0,F,7
1,just diatonic,F,G,1,-32.481430302203606,G,7
2,just diatonic,F,A,2,-43.45657100769248,G#,7
3,just diatonic,F,B,3,-75.93800130989561,A#,7
4,just diatonic,F,C,4,-16.240715151101902,C,7
5,just diatonic,F,D,5,-48.72214545330541,D,7
6,just diatonic,F,E,6,-59.69728615879419,D#,7
0,just diatonic,G,G,0,0.0,G,7
1,just diatonic,G,A,1,-10.975140705488768,A,7
2,just diatonic,G,B,2,-43.456571007691885,A#,7
3,just diatonic,G,C,3,16.24071515110155,C,7
4,just diatonic,G,D,4,-16.240715151101707,D,7
5,just diatonic,G,E,5,-27.215855856590313,E,7
6,just diatonic,G,F,6,32.481430302203556,F,7
0,just diatonic,A,A,0,0.0,A,7
1,just diatonic,A,B,1,-32.481430302203414,B,7
2,just diatonic,A,C,2,27.215855856590174,C,7
3,just diatonic,A,D,3,-5.265574445612954,D,7
4,just diatonic,A,E,4,-16.240715151101902,E,7
5,just diatonic,A,F,5,43.456571007692446,F,7
6,just diatonic,A,G,6,10.975140705488421,G,7
0,just diatonic,B,B,0,0.0,B,7
1,just diatonic,B,C,1,59.69728615879346,C#,7
2,just diatonic,B,D,2,27.215855856590174,D,7
3,just diatonic,B,E,3,16.24071515110155,E,7
4,just diatonic,B,F,4,75.93800130989545,F#,7
5,just diatonic,B,G,5,43.45657100769207,G,7
6,just diatonic,B,A,6,32.48143030220318,A,7
0,just diatonic,C,C,0,0.0,C,8
1,just diatonic,C,D,1,-53.91000173077463,D,8
3,just diatonic,C,E,3,63.68628613516493,E,8
4,just diatonic,C,F,3,-48.04499913461252,E,8
6,just diatonic,C,G,5,48.044999134612496,G#,8
7,just diatonic,C,A,6,15.641287000552365,A,8
8,just diatonic,C,B,7,-38.268714730222214,A#,8
0,just diatonic,D,D,0,0.0,D,8
1,just diatonic,D,E,1,-32.40371213405997,E,8
2,just diatonic,D,F,2,5.865002596162303,F,8
3,just diatonic,D,G,3,-48.04499913461252,G,8
5,just diatonic,D,A,5,69.55128873132726,A#,8
6,just diatonic,D,B,6,15.641287000552746,B,8
7,just diatonic,D,C,7,53.91000173077483,C#,8
0,just diatonic,E,E,0,0.0,E,8
1,just diatonic,E,F,1,38.26871473022254,F,8
2,just diatonic,E,G,2,-15.641287000552529,G,8
3,just diatonic,E,A,3,-48.04499913461252,G#,8
5,just diatonic,E,C,5,-63.686286135165226,B,8
6,just diatonic,E,B,5,48.044999134612496,B,8
8,just diatonic,E,D,7,32.403712134060164,D,8
0,just diatonic,F,F,0,0.0,F,8
1,just diatonic,F,G,1,-53.91000173077503,F#,8
3,just diatonic,F,A,3,63.68628613516493,A,8
4,just diatonic,F,B,4,9.776284404390458,B,8
5,just diatonic,F,C,5,48.044999134612496,C,8
6,just diatonic,F,D,6,-5.865002596162659,D,8
7,just diatonic,F,E,7,-38.2687147302228,D#,8
0,just diatonic,G,G,0,0.0,G,8
1,just diatonic,G,A,1,-32.40371213406017,A,8
3,just diatonic,G,C,3,-48.044999134612716,C,8
4,just diatonic,G,B,3,63.6862861351653,C,8
6,just diatonic,G,D,5,48.044999134612496,D#,8
7,just diatonic,G,E,6,15.641287000552365,E,8
8,just diatonic,G,F,7,53.91000173077483,F#,8
0,just diatonic,A,A,0,0.0,A,8
1,just diatonic,A,B,1,-53.91000173077443,A#,8
2,just diatonic,A,C,2,-15.641287000552529,C,8
3,just diatonic,A,D,3,-69.55128873132743,C#,8
5,just diatonic,A,E,5,48.044999134612496,E,8
6,just diatonic,A,F,5,-63.68628613516503,E,8
8,just diatonic,A,G,7,32.403712134060164,G,8
0,just diatonic,B,B,0,0.0,B,8
1,just diatonic,B,C,1,38.268714730222165,C,8
2,just diatonic,B,D,2,-15.641287000552722,D,8
3,just diatonic,B,E,3,-48.04499913461291,D#,8
4,just diatonic,B,F,4,-9.776284404390282,F,8
5,just diatonic,B,G,5,-63.686286135165425,F#,8
7,just diatonic,B,A,7,53.91000173077483,A,8
0,just diatonic,C,C,0,0.0,C,9
2,just diatonic,C,D,2,62.756664935891884,D#,9
3,just diatonic,C,E,3,13.686286135165219,E,9
4,just diatonic,C,F,4,35.28833419872077,F,9
5,just diatonic,C,G,5,-35.28833419872091,G,9
7,just diatonic,C,A,7,48.97462033388579,A,9
8,just diatonic,C,B,8,-21.602048063555554,B,9
0,just diatonic,D,D,0,0.0,D,9
1,just diatonic,D,E,1,-49.07037880072694,D#,9
2,just diatonic,D,F,2,-27.46833073717085,F,9
4,just diatonic,D,G,4,35.28833419872077,G,9
5,just diatonic,D,A,5,-13.782044602005968,A,9
7,just diatonic,D,C,7,-62.75666493589183,B,9
8,just diatonic,D,B,7,48.974620333886165,B,9
0,just diatonic,E,E,0,0.0,E,9
1,just diatonic,E,F,1,21.602048063555877,F,9
2,just diatonic,E,G,2,-48.9746203338858,G,9
4,just diatonic,E,A,4,35.28833419872077,A,9
5,just diatonic,E,B,5,-35.28833419872052,B,9
6,just diatonic,E,C,6,-13.686286135165112,C,9
8,just diatonic,E,D,8,49.07037880072658,D#,9
0,just diatonic,F,F,0,0.0,F,9
2,just diatonic,F,G,2,62.756664935891514,G#,9
3,just diatonic,F,A,3,13.686286135164837,A,9
4,just diatonic,F,B,4,-56.89038226227653,A#,9
5,just diatonic,F,C,5,-35.28833419872091,C,9
7,just diatonic,F,D,7,27.468330737170756,D,9
8,just diatonic,F,E,8,-21.60204806355614,E,9
0,just diatonic,G,G,0,0.0,G,9
1,just diatonic,G,A,1,-49.07037880072694,G#,9
3,just diatonic,G,B,3,13.686286135165219,B,9
